Sample for t = 0.0
parameter = [1.5964629089409357, 0.0006653549762397781, 0.021992775592484602, 886.9031084584035, 0.0007948625567166364, 0.7495329751268879, 177.9110319534386, 5.25105700551381, 1843.7243657594747, 0.4485187050561112, 87898.95295336925, 0.8241091781758876, 0.054830400131273355] likelihood = -689299196023.2437
parameter = [2.274396836102563, 0.0006108313695501981, 0.0082015590577083, 1682.0098859124184, 0.0005473444364253888, 0.7579480999259182, 137.99084542187944, 2.3205315843687684, 1692.1524863485151, 0.8371873293710821, 44495.24102196445, 0.8072697317759676, 0.07104338405884032] likelihood = -386616833126.2871
parameter = [2.4057666256110335, 0.0007673119141736473, 0.008887260011697281, 1055.0758159578531, 0.000722099744463197, 0.5739981089263015, 130.83774940080738, 1.9251564607991163, 1979.8851028847457, 0.7774468927334798, 31446.759012766135, 0.5383945482674125, 0.08384679242277539] likelihood = -156909826352.13745
parameter = [2.2959676424106608, 0.0007386702628548048, 0.04466128606692536, 1610.1158748137434, 0.00013410822981262132, 0.2305588883138149, 155.211194740805, 1.9954563339354305, 1642.8344499291238, 0.14946633757088218, 23926.86689013457, 0.0830937606909399, 0.1257692644207755] likelihood = -10459333458.53449
parameter = [2.5927378123721994, 0.0008775087947998868, 0.08262958323666178, 920.0557247195828, 0.00017420489279626589, 0.8545144042154122, 154.18474389990908, 1.8366014666814898, 1247.3138672608002, 0.6998316313178405, 72018.23208904226, 0.2129197157233121, 0.040122733337790636] likelihood = -1472233462145.2092
parameter = [2.2332273467502164, 0.00036636496701314327, 0.033291524545716385, 1157.5294982912305, 0.0001652136034383746, 0.7804627044117319, 173.98827192490515, 7.958674721980213, 1220.4454915665208, 0.44427170025654095, 34386.92729972679, 0.6237058067291352, 0.10402442273423794] likelihood = -208925105786.75354
parameter = [2.3175577632970628, 0.0008041502285659211, 0.04596352938924745, 899.062612645544, 0.00018126284511788628, 0.506091652884414, 118.36717878295187, 4.797604350994552, 1268.8068095270257, 0.8479111274305019, 52611.9789220171, 0.6634811539916892, 0.08575119630170981] likelihood = -125761415182.034
parameter = [1.8641792539892077, 0.0007402361823420908, 0.021223072266058143, 1727.1875215739176, 0.0003128250569139167, 0.24634833119431412, 101.19033994517103, 5.984936749338473, 1090.5043015697472, 0.7537270118771373, 86596.5667784039, 0.21093185586418395, 0.24728707855940507] likelihood = -3797342935.006069
parameter = [1.1734783040564893, 0.0006728964091357015, 0.07003237520032385, 1542.7838950724583, 0.00020319994896512826, 0.25044758360156755, 97.16243487669684, 2.7824772626735332, 1717.7488422722058, 0.4413768628721147, 39920.92304012078, 0.49838275547561317, 0.1525791407220784] likelihood = -8868702329.797184
parameter = [2.0202167334284797, 0.000521435014499058, 0.04160069800846848, 1908.7069301674223, 0.00044401674445135184, 0.5751157169105754, 77.8539781171638, 4.206231507224448, 1586.629013384978, 0.5936977892469795, 43658.2838277272, 0.340796399728184, 0.18454072406914207] likelihood = -37842835356.85466
parameter = [2.3453565180112608, 0.00030041997239815555, 0.018314125390300508, 1538.3065119721214, 0.0008479623085050755, 0.6284874068306038, 95.59833698667872, 9.688522441031154, 1378.6674682419743, 0.5229188200317901, 85837.61548844445, 0.1020536121778841, 0.25991811615091454] likelihood = -23574231673.959663
parameter = [2.262978338121626, 0.0006671345223149984, 0.04214272799683402, 647.646981212371, 0.0005142814101894216, 0.6488752231355831, 55.03468666867287, 6.034218996239182, 1380.0581613298723, 0.658207684744878, 36916.26238782096, 0.3837247563667094, 0.27629493418559364] likelihood = -22379274376.96122
parameter = [2.0351492056678944, 0.0007088158885049407, 0.09070960425768597, 1292.3721862238838, 0.000505630948782539, 0.35572975545430907, 72.43437424703143, 7.346964792397837, 1423.1449523723568, 0.54948501977385, 30737.054661881277, 0.7204399183061323, 0.13067213938167715] likelihood = -29471203950.791683
parameter = [1.898651190483903, 0.0006027960054803946, 0.0783853937672621, 987.069674274727, 0.000838834334772593, 0.5731670078962641, 62.50080017746274, 8.12669437072572, 1377.312359542705, 0.29233742959400627, 53258.63845939132, 0.8209418465041386, 0.06248368779466685] likelihood = -342416572991.26483
parameter = [1.2980333056128293, 0.0003960612423422709, 0.038040600489806085, 990.4014872866169, 0.0005900177246840985, 0.7058882830627663, 97.04071117287363, 6.468156864727722, 1326.5184024433224, 0.34427673623814253, 35699.59908334649, 0.6203072507883693, 0.04160299512754242] likelihood = -1141776413544.5425
parameter = [1.2270691277506451, 0.0003084997195906444, 0.08533739134722342, 1902.1996256690572, 0.00020430435762249107, 0.2529148732370068, 176.5913563693242, 6.979355757684112, 1140.71054561204, 0.6134818688996774, 12334.877848024147, 0.41954060931827586, 0.05232859433439919] likelihood = -83542966759.29776
parameter = [1.8810102072336883, 0.00040758723721169636, 0.03998130647745312, 1683.121544851771, 0.0006196822680683183, 0.12143056994034544, 179.81941964687616, 7.07663904777339, 1204.9676620150765, 0.5165603466820992, 12529.046305268357, 0.4743687044825769, 0.07746432691454788] likelihood = -8553727765.898978
parameter = [2.299226966037054, 0.00015297658070909003, 0.09427000823229655, 1743.2654633851637, 0.0008008077582268666, 0.10427261425735351, 151.76732567974895, 6.67125633738433, 1023.6783673151202, 0.30657002025925956, 10394.24323515629, 0.878037768563076, 0.18866635183975342] likelihood = -1114651090.7538214
parameter = [3.974508140260128, 0.00016831385648006665, 0.021147937434774902, 1933.4889951731395, 0.0008190721891928519, 0.13475105862850467, 194.345705938884, 6.469192043837302, 1436.391290641183, 0.48297667602010397, 5179.653051146578, 0.4214579933338556, 0.32293020715295423] likelihood = -594019160.5011425
