Sample for t = 0.0
parameter = [5.168283528134825, 9.189697263497282, 6.395924362962087, 5.931318779186414, 1.8742658461806951, 23.326418299521592, 3.772476472018607, 8.495152976281256, 0.28188493010865484, 4.4031773345250524, 0.11994670182772434] likelihood = -32013829.152160693
parameter = [4.492105223679124, 17.94669447658054, 2.184876643961863, 3.906902673308463, 1.06181330440446, 9.994206086234692, 5.827458241368639, 4.425422417315964, 0.4549988260897391, 4.235138106782515, 0.039781718486506516] likelihood = -291036457.964107
parameter = [3.0925020401122145, 10.528735453070539, 1.9528876718329966, 5.346740139166023, 2.0108574671797386, 9.133770286739038, 7.081665067779078, 5.144435974287512, 0.2860674564669827, 1.7036066504798586, 0.040977104134947304] likelihood = -274303877.0542818
parameter = [2.0119924219113208, 3.9401296727127746, 6.507542697283003, 3.587583375365627, 0.9505802718716335, 13.127346905425313, 4.4125014365622315, 4.608488674344059, 0.43030879621237006, 3.281483402284696, 0.3323266718792551] likelihood = -4170458.4498674553
parameter = [2.0675986574345884, 4.000291723388901, 4.662704307325098, 3.3281177474813726, 3.841250105859302, 10.692655297278424, 4.728614856529685, 3.672735207725131, 0.2868008715364234, 8.528621841286423, 0.16067625349146802] likelihood = -17840652.983508483
parameter = [3.410059708177425, 3.9639849787281243, 4.252333427453224, 3.027460086361299, 1.2293372176770625, 3.209436670723022, 7.5564476439011905, 2.707811672459975, 0.9416747268296817, 8.907298612551411, 0.18089881270995925] likelihood = -14074814.039121011
parameter = [3.3573052613586567, 2.4391752726357163, 4.7142999576420515, 3.868857375139939, 1.9411882917954453, 3.6895921371570135, 5.801284098734825, 1.810030994496746, 0.6547405080432714, 7.878230191021662, 0.1759440292024001] likelihood = -14878701.84497129
parameter = [3.4261077330476626, 1.9389297558974008, 2.6170690702944857, 5.237359084652641, 2.0507399539179922, 5.771329640032628, 1.317838946365332, 1.1915029412090186, 0.4475269434776243, 3.731065454124765, 0.327618104674199] likelihood = -7939702858410.4375
parameter = [1.5558535548199506, 4.126427790085133, 3.9740327085745326, 3.2946559803777613, 0.8259012411930096, 22.25550340040035, 1.179126010949822, 18.491602580812863, 0.12018169989582606, 14.25432638821021, 0.2972814345975445] likelihood = -5211689.340974168
parameter = [1.3469866332910259, 3.5774916101222676, 3.8990052163983147, 1.725668021370361, 0.6750223059116823, 9.252093069118628, 0.5683278610444933, 29.920301550332876, 0.18611267484324953, 11.6380247856251, 0.2191671679399754] likelihood = -9588773.451239271
parameter = [1.986969231345349, 7.989921082112407, 4.808311900875613, 3.6283821318272613, 0.3660712290642722, 6.127293268937944, 0.0890908278452685, 11.85679771854303, 0.4516556120344755, 12.495654647998345, 0.1159445746593466] likelihood = -34262061.810608596
parameter = [1.4741418994478979, 3.5423436113093603, 2.3517841537941195, 17.834525085459656, 0.4829871856360547, 5.8077598301412685, 0.2000450157407612, 4.946303448543285, 0.13236201790151342, 6.621668195262054, 0.21465235590315265] likelihood = -9996379.477084458
parameter = [1.165652142596643, 1.9576597086527268, 3.0522362264983736, 14.628184683493581, 1.1522454997655074, 2.790998662602263, 0.5035533951461395, 2.327533313616512, 0.5062003301524098, 4.248793262394037, 0.24694204085566893] likelihood = -7553078.096244737
parameter = [0.36682251496211216, 1.3203619197629446, 0.07252857926965213, 5.397328764039045, 0.5271476500267386, 0.8990193856537256, 0.8386999159322401, 4.909249856116668, 4.218869014625978, 9.89011047330391, 0.2513611145050665] likelihood = -7289837.639828071
parameter = [7.992439330183553, 1.1208828973525495, 0.6406002848778111, 8.481256956614356, 0.2755417925138353, 0.8790328768357908, 0.7283815787550182, 1.5003175491767826, 2.215553738856812, 11.262883865466685, 0.4861213431719607] likelihood = -1949063.3360517544
parameter = [5.176874404038188, 1.8859216823101101, 1.2979971120912788, 16.035665543083223, 2.1070354744584034, 1.1815547183293673, 0.5080801476466712, 1.2104988302345594, 3.820309277904985, 10.954056823649182, 0.36487430391023146] likelihood = -3459615.0451036664
parameter = [2.974180965519338, 1.3409208082661612, 1.6681232181061743, 9.77729795081526, 1.608313806726064, 1.1636370222325736, 0.3677279198436936, 0.5389953979639334, 2.691209365174382, 6.328954216638353, 0.19470769638018504] likelihood = -12149204.406536505
parameter = [3.590077543156992, 1.3592462189937284, 1.955927003584203, 17.08255607292674, 0.760777290938102, 5.056604870778574, 0.8543696626310099, 0.7978138712822903, 0.9143163230512685, 10.021261375075738, 0.6381441013263778] likelihood = -1131045.9944231794
parameter = [0.6277313540015157, 5.471103246876197, 1.4645680914537043, 12.748850335391309, 0.1829875576714362, 2.9130302214135515, 2.877103580644582, 8.233130470426486, 1.653222431430178, 0.7708430635254022, 0.4676828857346729] likelihood = -2105776.0038020723
parameter = [2.4896455424690025, 4.604526368174566, 1.9093342519543457, 5.887220261832867, 0.4247193877264069, 4.458076769182546, 3.9335793635028105, 3.084509641619938, 0.5675171536834477, 1.254565257274345, 0.405514892631286] likelihood = -2800921.688819068
parameter = [2.728486552228029, 6.559362650776796, 1.0470476821625185, 23.351629980954215, 0.4045581480399757, 10.586647309120353, 6.992668557364035, 8.58515561633781, 4.072164955033375, 2.568211367921019, 0.48698885969341243] likelihood = -1942125.4864982497
parameter = [3.590077543156992, 1.3592462189937284, 1.955927003584203, 17.08255607292674, 0.760777290938102, 5.056604870778574, 0.8543696626310099, 0.7978138712822903, 0.9143163230512685, 10.021261375075738, 0.6381441013263778] likelihood = -1131045.9944231794
