Sample for t = 0.0
parameter = [0.14599120313723132] likelihood = -285080717.5606457
parameter = [0.3910614155683529] likelihood = -39731166.32376373
parameter = [0.22733858850129215] likelihood = -117564144.27533667
parameter = [0.14861604618796787] likelihood = -275099506.8281529
parameter = [0.11858361824864552] likelihood = -432087627.8092929
parameter = [0.24662738353870337] likelihood = -99893818.38711914
parameter = [0.15958057670968956] likelihood = -238594899.1936026
parameter = [0.02716696677493077] likelihood = -8232636661.862682
parameter = [0.02641101768090677] likelihood = -8710658351.253233
parameter = [0.05709501498285949] likelihood = -1863909672.194789
parameter = [0.23336013078485107] likelihood = -111575254.53234133
parameter = [0.18098859080011934] likelihood = -185489279.2934097
parameter = [0.08631934609137687] likelihood = -815464298.9861615
parameter = [0.3493615934198376] likelihood = -49781835.81763023
parameter = [0.43558432966075744] likelihood = -32024089.371611994
parameter = [0.25785087371469145] likelihood = -91386909.54609638
parameter = [0.19086526090181616] likelihood = -166789009.16173637
parameter = [0.1256443663997175] likelihood = -384888719.5697806
parameter = [0.09818776873269289] likelihood = -630240706.2640868
parameter = [0.07402351877163967] likelihood = -1108872946.291789
parameter = [0.03689344428356792] likelihood = -4463986229.138932
parameter = [0.021508196198796778] likelihood = -13134491811.398956
parameter = [0.009285680528460532] likelihood = -70468297511.28691
parameter = [0.009937309174243415] likelihood = -61529537514.22818
parameter = [0.006517575079677787] likelihood = -143037255818.45197
parameter = [0.0038542905396477616] likelihood = -409008522212.8658
parameter = [0.0038802944976271555] likelihood = -403544915176.7118
parameter = [0.011874683772886543] likelihood = -43090064925.10777
parameter = [0.044814324926844416] likelihood = -3025432935.808662
parameter = [0.29032027329520393] likelihood = -72088581.7420823
parameter = [0.2502655196864664] likelihood = -97010594.84699753
parameter = [0.24635978079922752] likelihood = -100110951.05130781
parameter = [0.17724225832774307] likelihood = -193413445.57018298
parameter = [0.3252130126750968] likelihood = -57449385.688783534
parameter = [0.21618412180025925] likelihood = -130009060.65487483
parameter = [0.14637773545113095] likelihood = -283577108.78703713
parameter = [0.089157841270667] likelihood = -764367381.4412755
parameter = [0.155281294738729] likelihood = -251989781.08167678
parameter = [0.07682885765513692] likelihood = -1029372322.8053285
parameter = [0.15190542079519764] likelihood = -263314438.05119127
parameter = [0.30723788581519945] likelihood = -64368246.3207863
parameter = [0.32160627184312296] likelihood = -58745174.46366888
parameter = [0.21188171555947188] likelihood = -135342515.87704265
parameter = [0.09609828722503187] likelihood = -657945526.3857574
parameter = [0.22897167978911714] likelihood = -115893122.7069098
parameter = [0.11183466197426696] likelihood = -485812146.75248384
parameter = [0.33176467018851635] likelihood = -55202779.9410389
parameter = [0.3370631994076803] likelihood = -53480880.023263626
parameter = [0.411398263695308] likelihood = -35900157.62731866
parameter = [0.4389175790668906] likelihood = -31539538.67924736
parameter = [0.2632226782600945] likelihood = -87694952.7706189
parameter = [0.16297244393112553] likelihood = -228766726.6506194
parameter = [0.12166434379029036] likelihood = -410482445.5919148
parameter = [0.19503878852550469] likelihood = -159727328.2511713
parameter = [0.39518257935870893] likelihood = -38906814.08727129
parameter = [0.07404165203120647] likelihood = -1108329873.0701053
parameter = [0.0662459615209915] likelihood = -1384530176.5095701
parameter = [0.14464314737995135] likelihood = -290419312.04875576
parameter = [0.17820128055815915] likelihood = -191337268.7603275
parameter = [0.19506531382627432] likelihood = -159683891.2360244
parameter = [0.08838753794398058] likelihood = -777748463.479257
parameter = [0.16604463577369388] likelihood = -220379662.76994246
parameter = [0.5555297584408156] likelihood = -19688234.549789194
parameter = [0.11950962205855725] likelihood = -425417626.15928507
parameter = [0.31327605889627835] likelihood = -61910854.959846035
parameter = [0.26312650814783944] likelihood = -87759067.74346624
parameter = [0.25769766666056343] likelihood = -91495604.98859859
parameter = [0.09395810720459599] likelihood = -688260292.7833055
parameter = [0.06638706303376223] likelihood = -1378650967.9436598
parameter = [0.07835187188759696] likelihood = -989743105.3587537
parameter = [0.06516073174342028] likelihood = -1431031971.6802256
parameter = [0.04881081813786128] likelihood = -2550287090.867626
parameter = [0.06000192674824671] likelihood = -1687682902.9944596
parameter = [0.045233608866963586] likelihood = -2969605582.4501023
parameter = [0.06511998311046338] likelihood = -1432823459.9308932
parameter = [0.04365385143251163] likelihood = -3188424341.2625046
parameter = [0.036940979238604524] likelihood = -4452505274.021231
parameter = [0.0492491256440617] likelihood = -2505094985.1038284
parameter = [0.05592706783527058] likelihood = -1942572085.4266152
parameter = [0.14272372440591943] likelihood = -298283258.71993035
parameter = [0.2566189349158371] likelihood = -92266449.58490877
parameter = [0.07770701532295113] likelihood = -1006238156.6965741
parameter = [0.15421885110028005] likelihood = -255473754.07145277
parameter = [0.0886256601176728] likelihood = -773574720.5522971
parameter = [0.06019190739706942] likelihood = -1677046220.303122
parameter = [0.03496857704527014] likelihood = -4968958045.553741
parameter = [0.019107402055408302] likelihood = -16642477149.52597
parameter = [0.04600616951885433] likelihood = -2870708510.7021804
parameter = [0.04197696278665136] likelihood = -3448253803.631475
parameter = [0.10656656813313177] likelihood = -535031398.7130107
parameter = [0.11613755828343138] likelihood = -450480342.7272805
parameter = [0.16921296295758959] likelihood = -212204189.0866034
parameter = [0.4319019287019612] likelihood = -32572492.58539826
parameter = [0.22973751743363052] likelihood = -115121743.40687622
parameter = [0.0631831964222728] likelihood = -1522011930.7546177
parameter = [0.06255924878809431] likelihood = -1552523536.1958828
parameter = [0.1112115235056762] likelihood = -491271587.64468837
parameter = [0.11388604512908096] likelihood = -468468295.13524806
parameter = [0.36170932357605595] likelihood = -46441028.20318037
parameter = [0.23925713135344917] likelihood = -106143015.7037004
parameter = [0.11742273839157608] likelihood = -440673381.318743
parameter = [0.052208434885986275] likelihood = -2229153102.941248
parameter = [0.07628944266751352] likelihood = -1043980422.4653378
parameter = [0.08488566093229571] likelihood = -843242655.5438161
parameter = [0.07342277155662714] likelihood = -1127092841.1835263
parameter = [0.17130950531547387] likelihood = -207041922.09824133
parameter = [0.13340518030751186] likelihood = -341409682.42142165
parameter = [0.33110609523382034] likelihood = -55422596.60603237
parameter = [0.3407087025808371] likelihood = -52342537.21794079
parameter = [0.08466343376892371] likelihood = -847675203.4806514
parameter = [0.06157558923795288] likelihood = -1602522331.8862529
parameter = [0.10622931004009672] likelihood = -538434039.9088137
parameter = [0.07556680482934208] likelihood = -1064042855.9117262
parameter = [0.2527122573999115] likelihood = -95141192.59127954
parameter = [0.39472960180879724] likelihood = -38996161.42882094
parameter = [0.3606074253221587] likelihood = -46725278.931747325
parameter = [0.1254519807183208] likelihood = -386070109.5849451
parameter = [0.040052784520578345] likelihood = -3787527725.8739557
parameter = [0.1019485454383107] likelihood = -584600474.3485899
parameter = [0.13347967857852275] likelihood = -341028690.5791794
parameter = [0.13688539881505157] likelihood = -324270147.9762965
parameter = [0.18574317777479254] likelihood = -176114643.25240934
parameter = [0.469038792455012] likelihood = -27618735.46126989
parameter = [0.2100197671700066] likelihood = -137752935.20444432
parameter = [0.08129580521215578] likelihood = -919358643.1896453
parameter = [0.20441243852563823] likelihood = -145414116.55671388
parameter = [0.2138155314990427] likelihood = -132905424.94172764
parameter = [0.5515385556341645] likelihood = -19974212.664443143
parameter = [0.1771103851265399] likelihood = -193701577.14264077
parameter = [0.06326782805886193] likelihood = -1517942746.9612076
parameter = [0.04855885237094378] likelihood = -2576821993.0487247
parameter = [0.01712528243481866] likelihood = -20717901708.85713
