Sample for t = 0.0
parameter = [0.3984772321712578] likelihood = -38266102.52946906
parameter = [0.43281342467054945] likelihood = -32435443.13930251
parameter = [0.47432593894446917] likelihood = -27006454.483106486
parameter = [0.21320166627237544] likelihood = -133671868.0580747
parameter = [0.20259335570615064] likelihood = -148037182.74642467
parameter = [0.24632686792936614] likelihood = -100137705.41101843
parameter = [0.19003979939897683] likelihood = -168241093.6398639
parameter = [0.1512219958556313] likelihood = -265699835.78070498
parameter = [0.07507558069655718] likelihood = -1078012605.1507454
parameter = [0.06744797786409278] likelihood = -1335621415.5326836
parameter = [0.05858378813584788] likelihood = -1770379381.5346584
parameter = [0.05135969041431413] likelihood = -2303437599.4518394
parameter = [0.05999229692715756] likelihood = -1688224752.1964035
parameter = [0.12632852875572317] likelihood = -380731094.47933424
parameter = [0.10064452460270738] likelihood = -599847600.360571
parameter = [0.14576330107610902] likelihood = -285972866.35718876
parameter = [0.1518907807242269] likelihood = -263365199.89448684
parameter = [0.3390668558773604] likelihood = -52850675.80452333
parameter = [0.20335062941768106] likelihood = -146936660.63293618
parameter = [0.32681711727498647] likelihood = -56886816.30397196
parameter = [0.526414248376956] likelihood = -21926338.559994034
parameter = [0.35857033466546867] likelihood = -47257693.22579405
parameter = [0.15771840657780525] likelihood = -244262306.80125067
parameter = [0.08167274160512092] likelihood = -910892169.3577151
parameter = [0.10639017493575377] likelihood = -536807016.4241835
parameter = [0.15631729497843735] likelihood = -248660701.1364218
parameter = [0.29583877911161716] likelihood = -69424219.73794308
parameter = [0.263313163595278] likelihood = -87634691.87452297
parameter = [0.0677450228820865] likelihood = -1323934360.827177
parameter = [0.10175790299967469] likelihood = -586793012.9260828
parameter = [0.0929336900150666] likelihood = -703517444.4638835
parameter = [0.05289917964269642] likelihood = -2171317694.444783
parameter = [0.06569992752155304] likelihood = -1407639551.7124877
parameter = [0.027291763193919065] likelihood = -8157518423.359116
parameter = [0.12597814031076343] likelihood = -382851927.540388
parameter = [0.35201615578391066] likelihood = -49033854.83607481
parameter = [0.17865804085279377] likelihood = -190360166.89542347
parameter = [0.580804560366745] likelihood = -18011979.222277638
parameter = [0.3412320985438497] likelihood = -52182090.07347864
parameter = [0.1481651720680974] likelihood = -276776337.8182277
parameter = [0.2345875706612515] likelihood = -110410711.77043416
parameter = [0.11035184807644513] likelihood = -498955721.51287115
parameter = [0.0760691139525448] likelihood = -1050036809.2333963
parameter = [0.13941269131721132] likelihood = -312619884.2322916
parameter = [0.10527080482966779] likelihood = -548283710.8861191
