Sample for t = 0.0
parameter = [0.1903917088159723] likelihood = -167619733.4830789
parameter = [0.1392302745553515] likelihood = -313439597.72450614
parameter = [0.4385220221041084] likelihood = -31596463.095919993
parameter = [0.5940136950466011] likelihood = -17219818.941185176
parameter = [0.27572729683028196] likelihood = -79921142.00454713
parameter = [0.15199803675568124] likelihood = -262993648.50256005
parameter = [0.3645384745538354] likelihood = -45722976.123384565
parameter = [0.3330750898491209] likelihood = -54769265.10401443
parameter = [0.050887289990505895] likelihood = -2346402972.03289
parameter = [0.03911925223272252] likelihood = -3970453919.4330044
parameter = [0.0748027787930873] likelihood = -1085889856.7057223
parameter = [0.16947164436405862] likelihood = -211556866.80470037
parameter = [0.24071802503086115] likelihood = -104858582.368322
parameter = [0.21920417598884878] likelihood = -126451375.84499392
parameter = [0.4204796931576353] likelihood = -34366176.64502355
parameter = [0.1369702168106428] likelihood = -323868667.5675902
parameter = [0.14630783354569202] likelihood = -283848144.3967018
parameter = [0.11796659327905291] likelihood = -436619522.95370585
parameter = [0.05487488537556043] likelihood = -2017780835.889995
parameter = [0.058670369094965744] likelihood = -1765158073.0534487
parameter = [0.07671074507062924] likelihood = -1032544640.5611432
parameter = [0.10194946449178392] likelihood = -584589934.289426
parameter = [0.06318495335716154] likelihood = -1521927289.1240149
parameter = [0.04335140297361748] likelihood = -3233068707.759205
parameter = [0.2081145971921148] likelihood = -140286577.9510234
parameter = [0.12230327602852359] likelihood = -406204793.92365944
parameter = [0.12451260468438352] likelihood = -391917438.435755
parameter = [0.1122840708703414] likelihood = -481931072.87388504
parameter = [0.12502220837010497] likelihood = -388728956.37815344
parameter = [0.3762888189848846] likelihood = -42911985.88569465
parameter = [0.1354047096336483] likelihood = -331400898.06453025
parameter = [0.08091293117262743] likelihood = -928079903.885335
parameter = [0.081470477349027] likelihood = -915420672.0240655
parameter = [0.13830131661937714] likelihood = -317664432.4626515
parameter = [0.18289393957280947] likelihood = -181644637.4275829
parameter = [0.20189463827507206] likelihood = -149063610.68905354
parameter = [0.11541153135701998] likelihood = -456165902.9016534
parameter = [0.16544513502629132] likelihood = -221979675.32350487
parameter = [0.05776913060981637] likelihood = -1820663060.3978043
parameter = [0.13438530294024947] likelihood = -336447784.1146819
parameter = [0.085648999924367] likelihood = -828278986.4208343
parameter = [0.13090708467639436] likelihood = -354564230.2983881
parameter = [0.046737395286143915] likelihood = -2781584368.193875
parameter = [0.05666024388614187] likelihood = -1892624098.1725488
