Sample for t = 0.0
parameter = [0.0009754784512006956, 5.248725318207655, 1950.5718048428448, 0.999852839117109, 0.008255776733910971, 708.6635971199271, 0.0007190893989421931, 2641.1899503998475, 0.00019658182628420824, 0.3202069866196615] likelihood = -9490737.441053785
parameter = [0.00027789631643747835, 9.9507832107437, 1362.8148264598337, 0.6262471048823753, 0.017155843743921168, 248.3749852944578, 0.00045316975123439745, 2540.071371939527, 0.00011082187736395689, 0.4966251658683247] likelihood = -40375.10053406923
parameter = [0.00045366326750244883, 2.89030196472991, 1623.7210544388852, 0.06598099598188871, 0.08633522374841641, 204.62575279598235, 0.00027494627705987817, 7377.266334597238, 5.4579397585947137e-05, 0.13894519237454625] likelihood = -26969.85579204224
parameter = [0.0005408677664957223, 6.587841228120521, 1888.1472346301941, 0.07515604365004704, 0.08475156947934645, 1583.9979991816504, 2.8143030790525648e-05, 7263.224543555046, 0.0004580013783977439, 0.3217811249813689] likelihood = -214954.38870247256
parameter = [0.0009604949188822729, 8.279481026872114, 1022.6915873613883, 0.7194060152257965, 0.052973826568859725, 267.6962993204099, 0.0009605735569723713, 7377.722741523163, 0.00013199564593639304, 0.14169442268483964] likelihood = -1251692.8207168458
parameter = [0.00031236674471204557, 8.39923284300948, 1357.3607313263906, 0.019018060385919, 0.04776492838330144, 980.3857746379927, 0.00015213894119249133, 5644.35710951161, 0.00010353612882530911, 0.2175609473022208] likelihood = -9825.63503467044
parameter = [0.00019486602285966002, 4.913218551834111, 1341.1931896442823, 0.027735711553431883, 0.03422568698672441, 1271.3221144840993, 0.000253192371297835, 4244.440029460952, 0.0001057140171069469, 0.30793358374120283] likelihood = -943.5823943380657
parameter = [0.00011277902825736682, 2.9214473482241354, 1403.410334600015, 0.06571640514752294, 0.02645057620218957, 1413.8945038270276, 0.00039355411051021237, 4069.268969437977, 0.00015691899437757876, 0.5634888683963961] likelihood = -3993340.4047756977
parameter = [8.180903948335962e-05, 2.146041665375928, 1485.2620380064714, 0.07171556142041292, 0.05514832492877475, 1982.7042323064834, 0.0004518712402610418, 6110.25262916265, 0.000414618219454017, 0.448901082259846] likelihood = -26218221.057192504
parameter = [9.09253393502544e-05, 2.3186856787632033, 1395.2588937089902, 0.062240066663765095, 0.09392200232556086, 1365.396173806509, 0.00040570600014858593, 4868.162821961575, 0.00046438364698670647, 0.37672578456729977] likelihood = -35781732.07489058
parameter = [0.00019635104461165204, 5.387171541441703, 1942.2929280835485, 0.048665117708542115, 0.09335916095279172, 618.1104660686368, 0.00013064976663663922, 4672.395411364419, 0.0006689605975450047, 0.39831032709222675] likelihood = -19111521.80232709
parameter = [0.0003556895537323406, 7.673738883108344, 1377.6707553085064, 0.12195113410863644, 0.08246345843846582, 250.89071915075795, 4.4198662513781295e-05, 4507.946740606873, 0.0007299780073000306, 0.2965875199312279] likelihood = -21616563.972217344
parameter = [0.0007847519559459047, 4.462551117469766, 1096.6230812153926, 0.3431451576773209, 0.043239114562768785, 438.7868830151667, 3.935000982575174e-05, 4467.936289600073, 0.0004969565842131322, 0.1737572824005595] likelihood = -54426525.230876476
parameter = [0.00047839764457235527, 2.6104825474098123, 1123.213724123269, 0.25198623186322455, 0.03295710715167988, 820.5077753341681, 7.881174978670939e-05, 3895.0066094752997, 0.00034379398547099995, 0.10366144366215284] likelihood = -295019376.1467381
parameter = [0.0005587885881623615, 2.440682387361723, 1110.7561309055393, 0.13369890006398388, 0.05437859531606511, 1035.0331033566563, 2.9816470009932443e-05, 4179.222023790598, 0.0004704390489532436, 0.19517440402974043] likelihood = -59110010.26922637
parameter = [0.0004200621672059441, 2.6619995983145026, 1579.0726421105444, 0.09578371295102658, 0.020799439580049102, 1305.6786541247986, 2.0371143452626976e-05, 4474.420530280602, 0.0008103365994671065, 0.14540075866121246] likelihood = -203010381.8802576
parameter = [0.0009200981505993582, 1.9544355106479605, 1351.9098118202596, 0.09730162368529316, 0.01944187221328885, 872.0954630419776, 5.352061520137679e-05, 2506.1263300895334, 0.0004942410260462005, 0.3441895597467793] likelihood = -7532398.88129917
parameter = [0.0008541545322793388, 1.9125028506350559, 1854.2503316942862, 0.17971158732868622, 0.021956704849415396, 408.15476542803475, 0.0001452439301242352, 3636.8394562566614, 0.0008908144008835697, 0.23440298110851146] likelihood = -89335582.16401973
parameter = [0.0008564823786795425, 1.1801021968763197, 1784.4418389653365, 0.16135048387845435, 0.005258705499179689, 206.2253732664319, 0.00031201133071771694, 4076.7905841262696, 0.0007172272381131933, 0.20561073640045816] likelihood = -119620959.98899558
parameter = [0.0006873242407832077, 1.442273458392124, 1834.3870946916988, 0.23990246414274966, 0.006714841754612708, 410.15673377719804, 0.0002060783596987774, 3065.4326061463694, 0.0008951480266239917, 0.35091727678318424] likelihood = -44957572.40002485
parameter = [0.0008468788015852129, 1.7251532371045242, 1647.1863660964495, 0.254362422893269, 0.015477523396990798, 567.192956321813, 0.00025257625383803497, 3657.7773981691657, 0.00034219487876577096, 0.13156345162796498] likelihood = -206468237.34936163
parameter = [0.0003883972062578685, 3.076979778525068, 1317.024460489671, 0.4212169794298831, 0.010125893779419729, 762.5953468593664, 0.00017251469013556178, 6150.203196582251, 0.00023883324937821066, 0.08731783813139513] likelihood = -487442101.30119246
parameter = [0.00048074661677054273, 2.644635241397217, 1269.1740511035255, 0.32069938176131213, 0.008881266419750422, 986.9347751715775, 0.00022249322649497925, 6549.485399729764, 0.00021848871393052714, 0.04752820427939257] likelihood = -945756179.0997257
